month_date,month,property_type,listing_count,host_count,active_listing_count,avg_daily_rate_mean,avg_daily_rate_median,occupancy_mean,revenue_mean,revenue_median,revpar_mean,star_rating_mean,superhost_share,latitude_mean,longitude_mean
2024-05-01,2024-05,House,64,61,51,203.3015625,131.4,0.141578125,773.75,0.0,24.95967741935484,4.818070175438597,0.328125,40.70683417890625,-73.9136122346875
2024-05-01,2024-05,Others,12,12,11,142.14166666666668,111.05,0.2285,1389.0,246.0,44.80645161290323,4.842727272727273,0.5,40.70897591666667,-73.90232114666667
2024-06-01,2024-06,Apartment & Condo,344,307,202,199.42267441860463,168.5,0.12490697674418606,643.3691860465116,0.0,21.44563953488372,4.761258741258741,0.3430232558139535,40.730408050610464,-73.95354608034884
2024-06-01,2024-06,Boutique & Hotels,25,22,18,400.292,347.8,0.17204,1634.88,0.0,54.496,4.608695652173913,0.16,40.7378960532,-73.9708113052
2024-06-01,2024-06,House,91,87,51,220.84615384615384,135.0,0.11796703296703297,679.2527472527472,0.0,22.641758241758243,4.8194805194805195,0.31868131868131866,40.71040263758242,-73.9082063387912
2024-06-01,2024-06,Others,14,14,11,143.75714285714287,111.1,0.32142857142857145,1393.357142857143,191.0,46.445238095238096,4.86,0.5714285714285714,40.71905792857143,-73.90444669714286
2024-07-01,2024-07,Apartment & Condo,344,307,246,200.16424418604652,168.85000000000002,0.20827325581395348,1290.0377906976744,0.0,41.61412228057014,4.761258741258741,0.3430232558139535,40.730408050610464,-73.95354608034884
2024-07-01,2024-07,Boutique & Hotels,25,22,21,382.94800000000004,281.6,0.18192,1279.52,0.0,41.274838709677425,4.608695652173913,0.16,40.7378960532,-73.9708113052
2024-07-01,2024-07,House,91,87,58,222.23626373626374,137.6,0.18968131868131868,1176.89010989011,0.0,37.96419709322935,4.8194805194805195,0.31868131868131866,40.71040263758242,-73.9082063387912
2024-07-01,2024-07,Others,14,14,13,145.09285714285713,112.05000000000001,0.4193571428571429,1893.0714285714287,1662.5,61.066820276497694,4.86,0.5714285714285714,40.71905792857143,-73.90444669714286
2024-08-01,2024-08,Apartment & Condo,344,307,245,199.8438953488372,168.10000000000002,0.2119186046511628,1323.1540697674418,0.0,42.68238934733684,4.761258741258741,0.3430232558139535,40.730408050610464,-73.95354608034884
2024-08-01,2024-08,Boutique & Hotels,25,22,21,386.63599999999997,289.5,0.2426,2146.0,772.0,69.22580645161291,4.608695652173913,0.16,40.7378960532,-73.9708113052
2024-08-01,2024-08,House,91,87,59,220.87252747252748,139.1,0.19815384615384615,1411.1978021978023,0.0,45.5225097483162,4.8194805194805195,0.31868131868131866,40.71040263758242,-73.9082063387912
2024-08-01,2024-08,Others,14,14,13,144.35,112.85,0.44471428571428573,1841.7857142857142,892.5,59.41244239631336,4.86,0.5714285714285714,40.71905792857143,-73.90444669714286
